Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
112,"
Stargate Finance",Ethereum,"$127,414,833",$0.7187,"177,282,427 STG *","$11,776,993",-0.05%,-3.20%,-24.42%
113,"
Aragon",Ethereum,"$125,113,996",$3.13,"40,029,852 ANT *","$9,103,004",-0.89%,-8.90%,-11.80%
114,"
Cocos-BCX",Ethereum,"$124,648,367",$1.75,"71,051,748 COCOS *","$87,387,897",-0.74%,0.64%,10.03%
115,"
Polymesh",,"$124,660,085",$0.2003,"622,461,225 POLYX *","$72,915,774",-2.17%,-12.47%,13.83%
116,"
iExec RLC",Ethereum,"$121,659,593",$1.50,"80,999,785 RLC *","$4,029,320",-0.30%,-2.93%,-16.40%
117,"
PlayDapp",Ethereum,"$120,069,017",$0.2187,"548,992,304 PLA *","$26,320,954",-0.66%,-2.49%,-7.60%
118,"
Lido Staked ETH",Ethereum,"$11,270,554,714","$1,838.69","6,129,651 stETH *","$12,528,505",-0.41%,-1.33%,-11.78%
119,"
HEX",Ethereum,"$10,325,962,810",$0.05955,"173,411,074,413 HEX *","$9,156,649",0.35%,-0.81%,-20.96%
120,"
Bitcoin BEP2",BNB Beacon Chain (BEP2),"$1,453,998,540","$27,404.78","53,056 BTCB *","$15,272,137",-0.18%,-1.01%,-8.30%
121,"
Frax",Ethereum,"$1,036,674,696",$0.9976,"1,039,141,409 FRAX *","$8,628,555",-0.07%,-0.35%,-1.73%
122,"
Wrapped BNB",BNB Smart Chain (BEP20),"$831,360,534",$328.63,"2,529,767 WBNB *","$114,666,414",-0.08%,-0.70%,-4.73%
123,"
BitTorrent",Tron10,"$719,950,060",$0.0007272,"990,000,000,000 BTTOLD *","$189,966",0.03%,-0.50%,-1.61%
124,"
FTX Token",BNB Beacon Chain (BEP2),"$541,781,140",$1.65,"328,895,104 FTT *","$13,492,390",0.20%,-4.23%,-9.44%
125,"
Bitget Token",Ethereum,"$530,841,256",$0.3792,"1,400,000,000 BGB *","$11,217,237",-0.11%,6.36%,-14.79%
126,"
Tether Gold",Ethereum,"$488,803,626","$1,982.78","246,524 XAUT *","$7,530,775",-0.01%,-0.21%,-1.38%
127,"
Wrapped Kava",Kava,"$379,284,192",$0.7714,"491,694,286 WKAVA *",$?,0.13%,0.21%,-17.47%
128,"
Baby Doge Coin",Ethereum,"$342,758,933",$0.000000002978,"115,113,333,036,839,000 BabyDoge *","$8,677,432",0.18%,-1.98%,-16.61%
129,"
USDJ",Tron20,"$306,398,543",$1.12,"273,194,517 USDJ *","$1,016,355",-0.02%,-0.11%,-0.02%
130,"
Liquity USD",Ethereum,"$273,009,644",$1.02,"268,147,242 LUSD *","$800,381",0.01%,-0.02%,0.66%
131,"
Huobi BTC",Ethereum,"$246,032,937","$27,429.96","8,969 HBTC *","$20,234",-0.15%,-0.69%,-8.31%
