Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,Cluster
32,Optimism,Optimism,-0.07760558634301906,-0.14444198209807774,"314,844,141 OP *",-0.03584375328165405,0.22558885099420883,-0.3173419985720772,-0.4808304527361506,0
33,Maker,Ethereum,-0.08126163886660881,0.05586151978092884,"977,631 MKR *",-0.09524316064168192,0.02132715628711677,0.41204601411197306,-0.33984442743021753,1
34,Synthetix,Ethereum,-0.08734147596415437,-0.14436838331580618,"258,384,717 SNX *",-0.0910732217229554,0.14615374749700638,-0.25298423274701387,-0.012592193508416519,0
35,Render Token,Ethereum,-0.08816918086285912,-0.14458329176003915,"363,911,539 RNDR *",-0.04014301315380003,-2.112072766209178,0.3181909389504225,0.19631410676241884,0
36,PancakeSwap,BNB Smart Chain (BEP20),-0.08801337324974608,-0.14412697930995544,"191,957,661 CAKE *",-0.08731027760175561,-0.21697815420449057,-0.1752185990417291,0.1469175431515809,0
37,GMX,Arbitrum,-0.09009057856362702,-0.124261195999214,"8,652,067 GMX *",-0.08812256625500166,-0.6028057997623311,-0.6498571220015706,-0.6670966613520183,0
38,BitTorrent(New),Tron20,-0.0901379535449895,-0.1450867072414806,"951,421,714,286,000 BTT *",-0.09719854675820289,0.07806651592797569,0.5702588550985869,1.4590137640644625,1
39,Huobi Token,Ethereum,-0.09450101309279597,-0.14402688496606608,"162,233,844 HT *",-0.10422004593371184,0.22558885099420883,0.8866845370718146,0.3167182305638362,1
40,Frax Share,Ethereum,-0.096031790507467,-0.14272271454421392,"71,618,043 FXS *",-0.09609872107726139,-0.3645004892707237,0.4174091612640617,-0.9490687119638849,0
41,PAX Gold,Ethereum,-0.10191209641696349,0.43884897506312875,"271,264 PAXG *",-0.10384876078571932,0.29367608256323946,0.8035557562144412,0.9804845540844703,1
42,Injective,Ethereum,-0.10505236297945575,-0.14317902699429763,"80,005,555 INJ *",-0.04325663998998488,-0.8297632383257667,-2.2909801505406833,-1.7394137297372914,0
43,GateToken,Ethereum,-0.10638258607736384,-0.14354996485694632,"97,785,756 GT *",-0.10827144497081727,0.15750161942517815,0.8571872277353273,0.5544391929409935,1
44,Trust Wallet Token,BNB Smart Chain (BEP20),-0.109316847814161,-0.14473932117845487,"416,649,900 TWT *",-0.09829912890563486,-0.5460664401214722,-0.3146604249960329,0.2333615294705472,0
45,Gemini Dollar,Ethereum,-0.11466924918318284,-0.1447923123016904,"456,158,603 GUSD *",-0.1081242903990135,0.270980338706896,0.819645197670707,1.3427260205639482,1
46,Loopring,Ethereum,-0.11636707872145066,-0.14498773178837784,"1,331,430,935 LRC *",-0.09563068544770481,-0.1602387945636317,-0.20203433480217212,-0.5086160197672469,0
47,THORChain,BNB Beacon Chain (BEP2),-0.1169327331007996,-0.14468633005521933,"325,520,008 RUNE *",-0.09367358826095479,-0.0013685875692267771,0.304783071070201,-0.581681770108278,0
48,SingularityNET,Ethereum,-0.12180033809332004,-0.1449864658893228,"1,214,421,357 AGIX *",-0.08926247643059501,-0.3304568734862084,0.2109279959086504,-0.8142572571093065,0
49,Convex Finance,Ethereum,-0.1233353470175343,-0.14353524510049204,"76,662,187 CVX *",-0.10435377338356652,-0.7730238786849077,0.17338596584403015,-0.16078188434093013,0
50,WOO Network,Ethereum,-0.12403398879823808,-0.1450169063456703,"1,685,415,658 WOO *",-0.07348085031435124,-0.9999813172483435,-3.6371300857149227,-1.4255397317934253,0
51,1inch Network,Ethereum,-0.12478714797009217,-0.14494407299073436,"815,043,955 1INCH *",-0.09862734800485831,-0.11484730685094459,-0.3146604249960329,-0.2606041066378318,0
52,Enjin Coin,Ethereum,-0.1263567788734119,-0.14497336530607846,"1,000,000,000 ENJ *",-0.09791126353143469,0.20289310713786526,0.15461495081172008,-0.16592735971705916,1
53,Kava,Ethereum,-0.1274827056619375,-0.14486037645553515,"491,694,187 KAVA *",-0.10159060512839833,0.25963246677872415,0.5407615457620996,-0.6609220909006638,1
54,dYdX,Ethereum,-0.12781374244015764,-0.14437721516967875,"156,256,174 DYDX *",-0.05742937645878811,0.20289310713786526,-0.47019169240660247,-0.7844134999277584,0
55,Basic Attention Token,Ethereum,-0.1285158188275276,-0.14501322640655673,"1,488,615,298 BAT *",-0.09578776460665289,-0.1602387945636317,0.35305139543899844,-0.023912239335900143,1
56,Nexo,Ethereum,-0.12984559155069422,-0.1448957627500513,"560,000,011 NEXO *",-0.10617843322816693,0.28232821063506774,0.009809977705327754,0.22307057871828934,1
57,Oasis Network,Ethereum,-0.13273142833706156,-0.14506896129239535,"5,725,718,533 ROSE *",-0.08875665609112285,-0.6255015436186746,-0.8241594044444502,-0.6290201435686644,0
58,Ethereum Name Service,Ethereum,-0.1340310831480654,-0.14158634934594092,"28,337,389 ENS *",-0.09810139299621286,0.10076225978431924,0.1304807886273213,-0.4478994103289253,0
59,Mask Network,Ethereum,-0.13409031565441426,-0.143750153544725,"74,162,500 MASK *",-0.05403624316720738,-0.500674952408785,0.10366505286687835,-0.8152863521845322,0
60,Holo,Ethereum,-0.1372304368316583,-0.14508616957087583,"173,467,411,324 HOT *",-0.09677671318996243,1.0766792456070924,0.17606753942007453,-0.1618109794161559,1
61,Ankr,Ethereum,-0.1385996409098943,-0.14507762828499562,"10,000,000,000 ANKR *",-0.0919363398601496,-0.1488909226354599,-0.39778920585340616,-0.28530238844325057,0
62,Balancer,Ethereum,-0.14040143623798412,-0.14330856085109558,"49,164,702 BAL *",-0.10610011520791604,0.02132715628711677,-0.11086083321666589,-0.34498990280634634,0
63,Compound,Ethereum,-0.14104871708506406,-0.13349931514994112,"7,446,837 COMP *",-0.09680827145268123,0.03267502821528856,0.3503698218629541,-0.20297478242518752,1
